type;n;swaps;cmps
insertion;30;195;224
insertion;30;205;234
insertion;30;186;215
insertion;30;252;281
insertion;30;232;261
insertion;30;228;257
insertion;30;205;234
insertion;30;215;244
insertion;30;184;213
insertion;30;194;223
insertion;30;212;241
insertion;30;227;256
insertion;30;244;273
insertion;30;222;251
insertion;30;231;260
insertion;30;200;229
insertion;30;205;234
insertion;30;216;245
insertion;30;221;250
insertion;30;186;215
insertion;30;165;194
insertion;30;186;215
insertion;40;368;407
insertion;40;438;477
insertion;40;332;371
insertion;40;466;505
insertion;40;342;381
insertion;40;303;342
insertion;40;374;413
insertion;40;322;361
insertion;40;460;499
insertion;40;421;460
insertion;40;376;415
insertion;40;393;432
insertion;40;354;393
insertion;40;442;481
insertion;40;400;439
insertion;40;371;410
insertion;40;333;372
insertion;40;356;395
insertion;40;365;404
insertion;40;424;463
insertion;40;367;406
insertion;40;437;476
insertion;40;353;392
insertion;40;371;410
insertion;40;389;428
insertion;40;427;466
insertion;40;439;478
insertion;40;420;459
insertion;40;358;397
insertion;40;380;419
insertion;40;386;425
insertion;40;332;371
insertion;40;373;412
insertion;40;386;425
insertion;40;357;396
insertion;40;367;406
insertion;40;347;386
insertion;40;374;413
insertion;40;382;421
insertion;40;339;378
insertion;40;465;504
insertion;40;377;416
insertion;40;419;458
insertion;40;416;455
insertion;40;365;404
insertion;40;367;406
insertion;40;422;461
insertion;40;442;481
insertion;40;339;378
insertion;40;439;478
insertion;40;418;457
insertion;40;333;372
insertion;40;401;440
insertion;40;369;408
insertion;40;363;402
insertion;40;442;481
insertion;40;376;415
insertion;40;415;454
insertion;40;448;487
insertion;40;410;449
insertion;40;474;513
insertion;40;338;377
insertion;40;388;427
insertion;40;412;451
insertion;40;395;434
insertion;40;332;371
insertion;40;325;364
insertion;40;442;481
insertion;40;346;385
insertion;40;382;421
insertion;40;335;374
insertion;40;336;375
insertion;40;383;422
insertion;40;417;456
insertion;40;397;436
insertion;40;418;457
insertion;40;419;458
insertion;40;365;404
insertion;40;344;383
insertion;40;413;452
insertion;40;349;388
insertion;40;423;462
insertion;40;389;428
insertion;40;355;394
insertion;40;357;396
insertion;40;398;437
insertion;40;314;353
insertion;40;344;383
insertion;40;372;411
insertion;40;381;420
insertion;40;469;508
insertion;40;443;482
insertion;40;449;488
insertion;40;359;398
insertion;40;404;443
insertion;40;377;416
insertion;40;414;453
insertion;40;393;432
insertion;40;338;377
insertion;40;494;533
insertion;50;605;654
insertion;50;531;580
insertion;50;597;646
insertion;50;501;550
insertion;50;697;746
insertion;50;621;670
insertion;50;565;614
insertion;50;620;669
insertion;50;614;663
insertion;50;619;668
insertion;50;733;782
insertion;50;631;680
insertion;50;574;623
insertion;50;576;625
insertion;50;630;679
insertion;50;593;642
insertion;50;575;624
insertion;50;608;657
insertion;50;691;740
insertion;50;578;627
insertion;50;594;643
insertion;50;365;414
insertion;50;627;676
insertion;50;706;755
insertion;50;600;649
insertion;50;559;608
insertion;50;727;776
insertion;50;627;676
insertion;50;611;660
insertion;50;567;616
insertion;50;514;563
insertion;50;626;675
insertion;50;601;650
insertion;50;593;642
insertion;50;650;699
insertion;50;676;725
insertion;50;519;568
insertion;50;507;556
insertion;50;649;698
insertion;50;612;661
insertion;50;514;563
insertion;50;666;715
insertion;50;580;629
insertion;50;668;717
insertion;50;527;576
insertion;50;673;722
insertion;50;658;707
insertion;50;641;690
insertion;50;622;671
insertion;50;570;619
insertion;50;649;698
insertion;50;535;584
insertion;50;601;650
insertion;50;534;583
insertion;50;493;542
insertion;50;582;631
insertion;50;669;718
insertion;50;489;538
insertion;50;602;651
insertion;50;657;706
insertion;50;597;646
insertion;50;569;618
insertion;50;596;645
insertion;50;612;661
insertion;50;626;675
insertion;50;484;533
insertion;50;643;692
insertion;50;611;660
insertion;50;611;660
insertion;50;687;736
insertion;50;534;583
insertion;50;576;625
insertion;50;671;720
insertion;50;582;631
